name,industry,description
Shop101,Apps,"By being the most trusted reselling partner for millions of Indians, you'll be leading the next wave of e-commerce."
Plum,Employee Benefits,Health insurance and perks of high quality
Pee Safe,Consumer Goods,"Redcliffe Hygiene Private Limited, founded in 2013, is India's fastest growing hygiene company."
cure.fit,Apps,"cure.fit is a digital and offline health and fitness company that focuses on fitness, nutrition, and mental well-being."
Nykaa,Beauty,Nykaa is an online store that sells a variety of beauty and health items.
NoBroker,Commercial Real Estate,NoBroker is a peer-to-peer property listing platform that aims to streamline real estate transactions.
PharmEasy,Health Care,"PharmEasy is a health-tech firm that provides teleconsultation, medicine delivery, and diagnostic test sample collecting, among other services."
OfBusiness,Financial Services,OfBusiness is a financial platform that provides SMEs with smart funding.
LEAD School,E-Learning,LEAD School is a technology-based school transformation system that provides kids with a high-quality education.
Upstox,Financial Services,Upstox is a fintech startup that provides customers with new investing possibilities.
Teachmint,E-Learning,Teachmint is an online learning platform that focuses on the connection between tutors and students.
ZestMoney,Big Data,ZestMoney is a consumer loan fintech startup based in India.
Convosight,SaaS,Convosight is a community management tool that helps community builders grow and monetise their Facebook groups.
Livspace,E-Commerce,"Livspace is an interior design startup that links individuals with designers, services, and products through a platform."
Rebel Foods,E-Commerce,Rebel Foods Services is a food delivery platform that delivers food right to your door.
Spinny,E-Commerce,Spinny is a used automobile buying platform that makes transactions safe and simple.
Synapsica,Artificial Intelligence,Synapsica is a healthtech and teleradiology company that automates diagnostic radiology workflow and reporting using artificial intelligence.
DeHaat,Agriculture,DeHaat is a website that sells farm products and services.
Masai School,E-Learning,Masai School is a software training company that focuses on helping people get jobs.
Wysa,Artificial Intelligence,Wysa is an artificial intelligence (AI) conversational agent that has been proved to promote mental wellness.
Magicpin,E-Commerce,"Magicpin is a platform that allows users and merchants in a certain area to find, communicate with, and transact with one another."
Ather Energy,Automotive,Ather Energy is an electric scooter company.
Trell,Lifestyle,Trell is a lifestyle social commerce website that allows users to submit 3-minute videos demonstrating their passions.
Convin,Analytics,Convin is a conversation intelligence technology that aids remote sales teams in better understanding talks.
Yellow Messenger,Artificial Intelligence,Yellow Messenger is a software platform that may be used as a consumer engagement channel for businesses using artificial intelligence.
Mamaearth,E-Commerce,Mamaearth is an online retailer that specializes in products for babies and toddlers.
Milkbasket,Delivery Service,Milkbasket is a daily micro-delivery service that caters to consumers' shopping and housekeeping needs.
Bimaplan,Financial Services,Insurance for the next billion Indians at an affordable price
Urban Ladder,E-Commerce,Urban Ladder is an online furniture firm situated in Bangalore.
PagarBook,Apps,"PagarBook is a small- and medium-business salary, job, and attendance management tool."
Paytm Payments Bank,Banking,Paytm Payments Bank is a mobile-first bank that offers accounts with no minimum balance and no digital transaction fees.
OkCredit,Finance,OkCredit makes credit account management easier for both store owners and customers.
Purplle,Beauty,"Purplle is an online retailer of cosmetics, fragrances, skin care, and hair care items."
MyMoneyMantra,Consumer Lending,MyMoneyMantra is India's largest consumer and commercial finance phy-gital (physical-digital) marketplace.
Blackbuck,Information Services,Blackbuck is a logistics company based in India that makes trucking easier for both shippers and drivers.
Wakefit,E-Commerce,"Wakefit is a home solutions firm that tries to offer unique, modern, and affordable goods."
Freshtohome,E-Commerce,"Freshtohome is an online marketplace selling chemical-free, fresh chicken, beef, and seafood."
Housing.com,Internet,"Housing.com is an online real estate listing service in India that makes it easier to find, rent, and sell homes."
Doubtnut,E-Learning,"Doubtnut is an e-learning website that allows users to ask physics, chemistry, and math study questions."
smallcase,Financial Services,Changing India's equities investment strategy
Instamojo,Business Development,"Instamojo is a mobile payments platform that helps entrepreneurs start, run, and grow their businesses online."
Zomato,Food Delivery,Zomato is an online restaurant guide and food ordering platform that allows users to order and have meals delivered from restaurants.
SUGAR Cosmetics,Beauty,"SUGAR Cosmetics is a cruelty-free makeup brand that specializes on high-style, high-performance cosmetics."
WinZO,Digital Entertainment,WinZO is a mobile e-sports social game platform that rewards participants with cash and prizes.
Chingari,Social,Chingari is a video-on-demand service.
Fisdom,Advice,Fisdom is a fintech firm that provides investment advisory services via an app.
Digit Insurance,Finance,Digit Insurance is a financial services firm that specializes in general insurance.
Aye Finance,Finance,Aye Financing is a finance company that helps micro and small businesses with business loans.
Rivigo,Automotive,Rivigo is a transportation service company with a technology-enabled logistics platform.
Pepper Content,Content,Pepper Content is a content-mediation platform that links writers with content-hungry businesses.
Get My Parking,Automotive,Get My Parking is a business-to-business platform-as-a-service provider.
FabAlley,E-Commerce,FabAlley is an online fashion company that specializes in women's clothing.
FarMart,Agriculture,FarMart is a micro-SaaS platform that assists food businesses in obtaining high-quality goods at low costs.
mfine,Apps,Mfine is a health-tech firm that is working on an AI-powered telemedicine app for mobile devices.
Medlife,Information Technology,Medlife is a value-driven smartphone app that allows you to get medicines online and have them delivered to your home in India.
Lendingkart,Finance,Lendingkart is an online lender that offers SME borrowers short-term working capital loans.
Chqbook,Finance,"Chqbook is a fintech firm that enables clients to research, compare, book, and purchase personal finance products."
Turtlemint,Financial Services,Turtlemint is an insurtech platform that helps people find and buy the right insurance products.
Ecom Express,Delivery,"Ecom Express is a logistics solutions provider that enables customization, scalability, and the processing of delivery services."
BharatPe,Apps,BharatPe is a FinTech firm that assists merchants in accepting free payments from customers.
Vymo,Analytics,Vymo is a personal assistant program that automates sales and service team duties in businesses.
Shiprocket,E-Commerce,Shiprocket is an e-commerce shipping platform that allows direct-to-consumer companies to ship at a lower cost.
LeadSquared,CRM,Platform for sales execution and marketing automation that helps companies alter their sales processes.
FamPay,Financial Services,"FamPay allows parents to send money to their adolescent children via UPI, P2P, and card payments."
Quikr,Classifieds,"Quikr is a free classifieds and online marketplace in India that allows users to sell, buy, rent, and discover anything."
Quizizz,E-Learning,Quizizz is an educational platform that provides any learner with engaging gamified quizzes and interactive courses.
Stanza Living,Home Services,Stanza Living is a tech-enabled co-living concept designed for students and working people who are relocating.
Pristyn Care,Health Care,Pristyn Care is a health-care startup that is changing the way elective surgery is performed.
Polygon (Previously Matic Network),Blockchain,Matic Network is a scalability platform for blockchains.
Bobble AI,Artificial Intelligence,Bobble AI is a keyboard discussion media platform that creates customised content for its customers using artificial intelligence.
Cell Propulsion,Automotive,Cell Propulsion is a fleet electrification firm that develops solutions for large-scale commercial vehicle fleet electrification.
Dukaan®,DIY,Dukaan is a self-service platform that allows merchants with no programming experience to set up an e-commerce store using their smartphone.
Play Shifu,Augmented Reality,PlayShifu is an EdTech company that provides teaching and learning tools for kids aged 4 to 12.
Lava International Limited,Consumer Electronics,Lava International Limited adheres to the highest standards of moral and professional ethics.
Vivriti Capital,Analytics,Vivriti Capital is a marketplace for small businesses and individuals that don't have easy access to credit.
DocsApp,Health Care,DocsApp is an online medical consultation platform that offers advice to patients of all ages in a variety of fields.
Furlenco,Consumer,Furlenco is a monthly furniture rental subscription service that allows users to rent furniture on a monthly basis.
Swiggy,Delivery Service,Swiggy is an on-demand meal delivery service that delivers food from local eateries to clients' doorsteps.
Bombay Shaving Company,Consumer Goods,"Bombay Shaving Company is a consumer goods company that specializes in the development of shave, beard, and skincare products."
Treebo Hotels,Hospitality,"Treebo is India's first tech-enabled, asset-light, low-cost lodging brand."
Betterhalf,Artificial Intelligence,"Based on the past data of millions of married couples, Betterhalf develops an AI-based partner prediction engine."
JioSaavn,Internet,"Saavn is an Indian, Bollywood, and international music streaming service."
nearbuy,Apps,"NearBuy helps you find the finest things to do, purchase, and use in your area."
Indifi Technologies,Credit,Indifi Technologies is a small company financing provider with a digital lending platform.
Portea Medical,Health Care,"With a 24-city network, Portea Medical is India's largest and fastest-growing provider of in-home medical services."
Stashfin,Apps,StashFin is a digital lending startup that uses technology to make credit decisions in real time.
Square Yards,Market Research,"Square Yards is India's largest real estate platform, with over 20 cities and 9 countries represented."
HealthifyMe,Apps,HealthifyMe is a computer and smartphone application that allows users to reach their fitness and weight loss goals.
QuickSell,Software,Platform for B2B Mobile Commerce
Perpule,Apps,"UltraPOS by Perpule is a cloud-based, mobile POS solution that significantly enhances your store's billing and checkout processes."
ReNew Power,Clean Energy,ReNew Power is an Indian wind energy company.
Hike,Apps,Hike is a company that creates and develops mobile messaging apps.
Mswipe Technologies,Financial Services,"POS, Mobile POS, mPOS, Card Payment, Payment Solutions, mQR, QR code, Digital Payments, Card Swiping Machine, NFC Payment, mQR, QR code, mQR, QR code, Digital Payments, Card Swiping Machine"
Virohan,Continuing Education,Virohan is an EdTech startup that provides students with healthcare vocational training so that they can pursue a career in the field.
BimaPe,Consumer Applications,"For individuals and families across India, BimaPe demystifies insurance and its management. 'BimaPe Bharosa Karo' means 'BimaPe Bharosa Karo.'"
Netmeds,E-Commerce,Welcome to the most convenient drugstore in India!
XYXX Apparels,Gaming,"XYXX Apparels, which owns the XYXX innerwear line."
One97,Finance,One97 provides its customers with mobile content and commerce services.
Airmeet,Events,"Airmeet is an all-in-one event platform that features virtual social lounges for networking and virtual summits, meetups, and courses."
BookMyShow,Digital Entertainment,"BookMyShow is an online ticketing service for movies, theaters, and sporting events in India."
Embibe,Content Creators,Embibe gives students with tailored educational input.
Awign Enterprises,Business Development,Awign is a work fulfillment platform that focuses on the gig economy and offers last-mile delivery.
ixigo,Mobile,ixigo.com is an online travel site in India that makes all of your vacations easier.
Shuttl,Apps,"Shuttl is an app-based shuttle service that makes everyone's everyday commute safer, more reliable, and more economical."
Chai Point,Food and Beverage,Chai Point is a multi-channel beverage company that offers a precisely brewed cup of chai.
Avail Finance,Finance,Avail is a digital app that provides loans to India's blue-collar population with flexible repayment choices.
Flock,Apps,Flock is a real-time messaging and collaboration app for teams that improves productivity by speeding up and simplifying communication.
GlowRoad,E-Commerce,"GlowRoad is the largest reseller network in the world, with over 200,000 resellers selling in over 1000 cities and earning money online."
HomeLane,Home Decor,HomeLane is a home interior design firm that assists buyers in creating unique interiors for their homes.
Wow! Momo,Food and Beverage,Wow! Momo is a fast-food restaurant chain known for its momos.
LetsTransport,Logistics,Lets Transport is a logistics company that offers a variety of services.
Digital Class E-Learning Marketplace,B2B,Sellers and consumers of online courses can meet on this educational marketplace.
RentoMojo,E-Commerce,"RentoMojo is an online rental marketplace that offers monthly rentals of furniture, appliances, and gadgets (mobile phones, laptops)."
SBI Life,Financial Services,SBI Life is a life insurance company that provides a variety of plans and policies to safeguard you and your loved ones.
Zivame.com,E-Commerce,"Zivame is an online lingerie store based in India that allows users to shop by category, brand, color, and size."
VerSe Innovation,Content,VerSe Innovation is a platform for local language technology.
CoinDCX,Blockchain,CoinDCX is a cryptocurrency-enabled financial services provider.
Country Delight,Agriculture,"Country Delight makes and distributes milk with the goal of delivering high-quality, pure milk to your home."
BankBazaar.com,E-Commerce,BankBazaar.com is an independent online marketplace that provides immediate customized loan and insurance rate quotations.
Happay,Financial Services,Happay is an artificial intelligence-powered business expenditure management software that helps companies automate their cost management processes.
Five Star Business Finance,Banking,Five-Star is a Reserve Bank of India-registered non-banking finance company (NBFC) (RBI).
Goodera,Computer,Goodera is a technological platform that assists businesses in managing their corporate social responsibility (CSR) programs.
Simpl,E-Commerce,"In India, Simpl is the most popular Pay-Later platform."
F5 Refreshement,Food and Beverage,F5 Refreshment is a company that produces snacks and beverages.
ShopClues,E-Commerce,Shop Clues is a platform that allows buyers and sellers to communicate in a controlled environment.
Aknamed,Health Care,"In India, Aknamed is optimizing the healthcare supply chain."
Droom,Automotive,Droom is an online vehicle marketplace that is powered by technology and data science.
Box8,Delivery,BOX8 is a meal-delivery service that delivers meals in a handy and easy-to-carry box.
Cashkaro,Coupons,Customers who shop at online stores through Cashkaro are rewarded with coupons and rebates.
CropIn,Analytics,CropIn is a leading AI and data-driven agri-tech company that uses deep learning to give SaaS solutions to agribusinesses throughout the world.
Jupiter,Banking,Jupiter is a digital retail banking solution that helps consumers keep track of their spending.
ShopX,B2B,"Brands, merchants, and consumers are all connected through ShopX, a retail operating system."
LocoNav,Computer,LocoNav is an online fleet management software supplier that offers a single platform for running and managing fleet operations.
Avataar.Me,3D Technology,Avataar.Me is a high-tech provider of AR and VR services that are utilized to turn 2D design materials into 3D social media campaigns.
BluSmart Mobility,Electric Vehicle,BluSmart is an electric vehicle fast charging network and a zero-emission ridehailing service.
SleepyCat,E-Commerce,SleepyCat is a mattress and sleep-solutions firm that sells directly to consumers online.
INDwealth,Artificial Intelligence,INDwealth is a wealth management platform for HNI families that uses Artificial Intelligence and Machine Learning.
Shipsy,Big Data,"Shipsy's platform provides data-driven decision-making in the Supply Chain business, improving visibility and operational efficiency."
Kissht,Credit,"Kissht is a financial technology platform that allows users to get fast, hassle-free credit for purchases made at digital points of sale."
MedGenome,Biotechnology,"MedGenome is a biotechnology firm that offers a comprehensive tracking, analysis, and data reporting system."
Fabhotels,E-Commerce,Fabhotels is an online hotel room aggregator. Its goal is to provide standardized services at a low cost.
Loadshare,Delivery Service,"Loadshare Network focuses on first-mile, line-haul, and last-mile delivery services via its logistical software solutions."
Gradeup,Education,India's largest and most effective competitive test preparation site.
FreeCharge,Coupons,FreeCharge is a service that provides coupons for consumers to utilize when topping up their mobile subscriptions.
Healthkart,Dietary Supplements,"Consumers may reach their fitness objectives with the support of HealthKart's fitness products, services, and community."
Saveo,Fitness,Saveo is a pharmacy-focused business-to-business e-commerce platform.
True Balance,Apps,True Balance is a digital wallet that allows users to pay bills and access other financial services.
Coverfox Insurance,Auto Insurance,Coverfox Insurance is an insurtech company that offers simple online insurance brokerage services.
EarlySalary,Financial Services,EarlySalary.com is a Pune-based FinTech startup. We're here to save you from going bankrupt.
Pitstop,Automotive,Pitstop's doorstep service provides general automotive repair and maintenance services.
Wheels Eye,Information Services,WheelsEye is a logistics-tech firm that has received funding.
Bira 91,Brewing,Bira 91 is a craft beer company established in India that develops and manufactures a variety of craft beers.
PlanetSpark,E-Learning,PlanetSpark is an after-school math and English program for children in grades two through seven.
LimeRoad,E-Commerce,"A fun and exciting way to discover beautiful items, share them, and shop for them."
Pratilipi,Audio,"Pratilipi is a platform for language storytelling that connects readers, writers, and their stories."
Freight Tiger,Automotive,"Freight Transactions that are simple, efficient, and transparent."
unlu,Celebrity,unlu is a celebrity interaction platform that enables consumers and brands to receive endorsements from well-known figures.
KIMS Hospitals,Health Care,"KIMS Hospitals is a multidisciplinary, integrated private healthcare services provider with a multispecialty hospital network."
InterviewBit,E-Learning,Young software workers can use an e-learning platform to advance their careers.
Oye Rickshaw,Electric Vehicle,Oye Rickshaw is an electric vehicle energy solutions startup that uses a booking app to link customers with public transportation.
Arzooo.com,Consumer Electronics,"With its main ""Go Store"" product, India's leading retail digital platform in the consumer durables market has transformed 300,000+ SMEs."
Amber Group,Consumer Electronics,Amber Group is an Indian air conditioner and component manufacturer.
Star Health and Allied Insurance,Health Care,"Medical Insurance, Accident Insurance, and Travel Insurance Plans are all available from Star Health and Allied Insurance."
Magicbricks,Commercial Real Estate,Magicbricks is India's most popular real estate website.
Unbxd,Artificial Intelligence,Unbxd is an e-commerce product discovery tool that matches customers with the products they are most likely to purchase.
LIDO,E-Learning,LIDO is an ed-tech startup that uses an immersive online platform to revolutionize education.
Yulu,Electric Vehicle,Yulu is a micro-mobility platform in India that uses shared electric two-wheelers to alleviate traffic congestion and pollution.
Cashify,Consumer,Cashify is an online marketplace where you can resell your secondhand electronics.
Revv,Apps,Revv is an Indian car-rental company with a variety of alternatives to fulfill all of your self-drive requirements.
UrbanPiper,Food and Beverage,The most important platform for restaurants to run their online operations.
PropTiger,Intellectual Property,PropTiger is a pan-India-based independent real estate advisor. We have extensive real estate experience and understanding in India.
Miko,Artificial Intelligence,"Miko is a robotics, AI, and Internet of Things (IoT) firm."
HungerBox,B2B,HungerBox is a full-stack B2B food and beverage technology firm that specializes in corporate food solutions.
OYO,Hospitality,OYO is a hotel chain with a branded network of hotels that provide uniform guest experiences.
Leap Finance,Credit Cards,Leap Finance is a fintech business that provides Indian students studying abroad with education loans and credit cards.
MedPlus,E-Commerce,MedPlus is a South Indian pharmacy business.
PiggyRide,Children,"PiggyRide is an online class, event, and course provider. Music, dance, activity, and summer camp are all available."
Vernacular.ai,Artificial Intelligence,"By automating call center queries, we assist businesses in improving customer experience through intelligent voice chats."
ShareChat,Internet,ShareChat is a platform for social networking and regional content.
PhableCare,Health Care,Patients and doctors can use a mobile app to communicate with each other.
OZiva,Dietary Supplements,"OZiva is a plant-based clean nutrition company that sells products for exercise, hair, skin, men's and women's health, and general wellness."
Testbook.com,E-Learning,Testbook.com is a website that helps people prepare for government exams.
Billdesk,Finance,"BillDesk, a subsidiary of IndiaIdeas.com Ltd., was founded in early 2000 to address the problems that most of us have with paying bills."
Flatheads,E-Commerce,Flatheads is a global lifestyle brand that designs and manufactures shoes in India. Flatheads was the first company in India to introduce bamboo footwear.
Signzy,Artificial Intelligence,"Signzy is an AI-powered fintech business that provides banks, NBFCs, and other financial institutions with a digital onboarding solution."
RAW Pressery,Delivery,"RAW Pressery is a clean-label beverage company that sells cold-pressed juices, smoothies, soups, and other products."
WorkIndia,Human Resources,WorkIndia is the largest blue-collar job portal and product firm in India.
WebEngage,Enterprise Software,Consumer firms' fastest-growing multi-channel Marketing Automation package and CDP. Improve user retention and increase revenue from existing customers!
Chumbak,E-Commerce,"Chumbak is a gifting firm situated in Bangalore, India. Chumbak, founded by Subhra Chadda, distributes trendy t-shirts, tins, coffee mugs, and shot glasses."
Mu Sigma,Analytics,Mu Sigma is a management consulting firm that specializes in decision sciences and big data analysis.
Myelin Foundry,Artificial Intelligence,"Myelin Foundry creates Artificial Intelligence algorithms for edge devices based on video, audio, and sensor data."
JUSPAY,FinTech,Juspay is a company that creates an internet platform for making mobile payments.
DaMENSCH,E-Commerce,DaMENSCH is a men's clothing designer and retailer.
InstantPay,E-Commerce,Larger India's Financial Services
ITILITE,Business Travel,ITILITE is a digital travel management application that makes booking flights and hotels easier.
Fyle,Accounting,Fyle is a business expenditure management tool that is smart.
Trulymadly.com,Apps,Trulymadly is a matchmaking algorithm-based dating platform.
Quess Corp,Information Technology,Quess Corp Ltd. was founded in 2007 and is India's largest business services provider.
FreshMenu,Delivery,FreshMenu is a food delivery service that serves high-quality fresh and flavorful cuisines.
NODWIN Gaming,Events,NODWIN Gaming is a gaming solutions provider and e-sports event organizer.
IDfy,E-Commerce,IDfy is a people information company that helps businesses fight fraud by providing services like background checks.
Kinara Capital,Finance,"Kinara Capital is a lending organization that offers small business owners flexible, collateral-free loans."
Niki,Android,"Ramu Kaka, Full Stack | Ushering Bharat into the Internet Economy 2.0"
MyGate,Apps,MyGate is a smart smartphone app that makes check-ins easier in any location.
Neogrowth,Business Development,NeoGrowth Credit Pvt Ltd is an RBI-registered non-deposit taking NBFC that provides short-term business loans to Indian merchants.
Paytm Mall,E-Commerce,Paytm Mall is a division of One97 Communications' Paytm brand and an online and mobile marketplace.
Hopscotch,E-Commerce,"Hopscotch gives you behind-the-scenes access to international businesses for babies, children, and mothers."
Setu,Financial Services,Setu's goal is to boost economic growth by making formal finance more accessible to everyone.
Blue Tokai Coffee Roasters,Consumer Goods,Blue Tokai Coffee Roasters offers a dedicated online marketplace for the sale of roasted coffee.
Avanse Financial Services,Education,"Avanse, a non-banking finance firm regulated by the Reserve Bank of India, is an education finance company (NBFC)."
Gaana,Apps,"Gaana is an Indian music streaming service that features songs from Bollywood, Hindi, regional, and international artists."
LiquiLoans,Financial Services,Liquiloans is a platform for peer-to-peer lending.
Clovia,E-Commerce,"Clovia is a lingerie company that makes and distributes fashionable underwear, nightwear, and shapewear."
Scripbox,Angel Investment,Scripbox is a mutual fund distributor in India that owns and manages an online investing platform.
RateGain,Hospitality,RateGain is a pioneer in the field of hospitality and travel technology.
Epigamia,Consumer,"Epigamia is a high-quality, all-natural Greek yogurt that helps you make healthier choices without compromising flavor."
MCaffeine,Beauty,"MCaffeine is a personal care line that includes caffein-infused products for the face, body, and hair."
Chaayos,Food and Beverage,Chaayos is a chai tea shop that uses technology to provide a personalized cup of chai to customers.
TVF,Digital Entertainment,TVF Play is an Indian premium entertainment portal aimed at teenagers.
WOW Skin Science India Ltd,Beauty,WOW Skin Science is a line of anti-aging products. Night is a facial care company that started on the internet.
Financial Software & Systems,Debit Cards,Financial Software &amp; Systems (FSS) is a leading global provider of payment technology.
Ezetap,Mobile,Ezetap Mobile Solutions is a company that creates payment devices.
Financepeer,Financial Services,Financepeer is a peer-to-peer lending platform powered by artificial intelligence.
Haptik,Artificial Intelligence,"One of the largest Conversational AI firms in the world, with over 100 million devices and over 3 billion conversations handled."
GirnarSoft,Developer Tools,GirnarSoft is an IT company that focuses on providing corporate value through offshore and outsourced software development.
Meesho,E-Commerce,Meesho is an online reselling platform that allows anyone to establish a business without having to put up any money.
Lenskart,Delivery,Lenskart is an online eyeglasses retail portal established in India.
Udaan,B2B,"Udaan is a business-to-business (B2B) commerce platform that connects manufacturers, traders, retailers, and wholesalers in one place."
Zolve,Banking,"Zolve gives financial aid to immigrants, allowing them to become financially self-sufficient."
SafexPay,FinTech,Safexpay is a B2B2B finance company that specializes in platform and API infrastructure for businesses all over the world.
Pariksha,E-Learning,"Pariksha - The Success App is India's leading vernacular test preparation provider, catering to India's mobile first internet users."
Fyllo,Agriculture,Fyllo is a precision agriculture service provider that uses IoT and AI.
CredFlow,Credit,CredFlow offers financial services that help you automate your cash flow.
HalaPlay Technologies,Digital Entertainment,HalaPlay Technologies is a platform for daily fantasy sports.
